,r_av,l_av,r_smooth,l_smooth,r_log,l_log,f_smooth,A
1993-06-01,18.856666666666666,36.27166666666666,17.505789285714282,34.17405059523809,2.862531642548343,3.531466601543453,23.473421165362083,1.0
1993-07-01,15.26,34.36000000000001,17.47191845238095,34.03492559523809,2.860594932219926,3.5273872207725976,22.61630393656958,1.0
1993-08-01,16.6953125,34.3328125,17.21615595238095,33.48090059523809,2.845848242510659,3.5109751447588353,21.77954578684578,1.0
1993-09-01,16.01,31.87666666666667,16.98788928571428,32.86916726190476,2.832500695224365,3.4925350530657284,20.909443989847226,1.0
1993-10-01,16.175,29.633333333333333,16.779626785714285,32.56202976190475,2.820165459177545,3.483146878316176,20.114761270198755,1.0
1993-11-01,15.808333333333334,30.24666666666667,16.554001785714284,32.191788095238095,2.8066278723352704,3.4717113919269713,19.34043762961899,1.0
1993-12-01,17.909375,34.675,16.23806845238095,31.783854761904756,2.787358389998616,3.458958448967021,18.586473068107924,1.0
1994-01-01,18.125,37.974999999999994,15.849451785714281,31.305983928571422,2.7631349120730273,3.4438092591001364,17.804684431869624,1.0
1994-02-01,17.758928571428573,35.667857142857144,15.27946964285714,30.69325178571428,2.726510073898897,3.4240428188908028,17.092795300433885,1.0
1994-03-01,17.53125,35.743750000000006,14.811812499999998,30.1280613095238,2.6954250043161,3.405457006880988,16.44673385798697,1.0
1994-04-01,17.316666666666666,35.70833333333333,14.428479166666664,29.71712797619047,2.669203973376063,3.3917235791164155,15.730094274768527,1.0
1994-05-01,16.98,33.833333333333336,14.014287499999998,29.267186309523805,2.6400773449369948,3.3764669672660346,15.079282380538906,1.0
1994-06-01,14.306666666666668,29.396666666666665,13.602362499999998,28.86331130952381,2.6102434908909036,3.362571283753677,14.448829565377991,1.0
1994-07-01,11.4015625,24.771875,13.25109583333333,28.33044464285714,2.584080253414926,3.3439370088430542,13.838735829285781,1.0
1994-08-01,10.22,22.865000000000002,12.93494583333333,27.72510714285714,2.559932628024534,3.322338397714343,13.210409406827592,1.0
1994-09-01,10.893333333333334,24.35666666666667,12.550799999999999,27.15379464285714,2.5297844085660857,3.3015168024646995,12.642391100810707,1.0
1994-10-01,10.8484375,24.4265625,12.142800000000001,26.606927976190473,2.4967364015415776,3.2811716321091042,12.094731873862528,1.0
1994-11-01,10.7,23.128333333333334,11.708933333333334,26.073861309523807,2.460352083224393,3.260933330116362,11.533002261157971,1.0
1994-12-01,9.191666666666666,23.171666666666663,11.275412499999998,25.364119642857137,2.4226244700853674,3.2333355628609266,11.027418464285116,1.0
1995-01-01,9.55625,21.876562500000002,10.705904166666667,24.36511964285714,2.370795380564291,3.193152586722861,10.542193746480969,1.0
1995-02-01,8.39107142857143,20.628571428571426,10.095970833333332,23.21438630952381,2.3121364168617737,3.1447721860384235,10.04706094353005,1.0
1995-03-01,8.805,21.241666666666667,9.544080357142855,22.291272023809523,2.255921104410511,3.1041952127865438,9.632821548078788,1.0
1995-04-01,11.016666666666666,25.69166666666667,9.039163690476189,21.43025535714285,2.2015666580091096,3.064803725286767,9.208674067480754,1.0
1995-05-01,10.096875,24.678125,8.518372023809523,20.47823452380952,2.142225245566024,3.0193625915633384,8.804885665951426,1.0
1995-06-01,10.205,25.025,8.038972023809523,19.680701190476185,2.084301217281244,2.9796385205867555,8.39661826702698,1.0
